Name,Ticker,Pricing Source,Security Type,Market Sector,BBGID,BBGID Composite,BSID,Unique ID
TENGION INC,TNGN,UL,Common Stock,Equity,BBG000Q3H4V3,BBG000Q3GYT1,30079095140,EQ0000000009519397
SUPERMEDIA INC,SPMD,UL,Common Stock,Equity,BBG000Q43FJ5,BBG000Q436M1,30079134874,EQ0000000009535486
CORMEDIX INC,CRMD,UL,Common Stock,Equity,BBG000Q4BXS7,BBG000Q4BQK0,30079172251,EQ0000000009540982
DYNAVOX INC-CLASS A,DVOX,UL,Common Stock,Equity,BBG000Q4N792,BBG000Q4N0K4,30079183365,EQ0000000009546555
ATHENS BANCSHARES CORP,AFCB,UL,Common Stock,Equity,BBG000Q4WMW3,BBG000Q4WCQ2,30079218896,EQ0000000009553428
OCZ TECHNOLOGY GROUP INC,OCZ,UL,Common Stock,Equity,BBG000W6FMQ7,BBG000W6FJP5,30079301704,EQ0000000009595725
VERDE REALTY,VRE,UL,Common Stock,Equity,BBG000W7F0Z3,BBG000W7DWR4,30079656210,EQ0000000009661014
VERMILLION INC,VRML,UL,Common Stock,Equity,BBG000BTYYJ1,BBG000BTYP37,30079848421,EQ0000000009677201
DEX ONE CORP,DEXO,UL,Common Stock,Equity,BBG000BCKVC6,BBG000BCKL83,30079872531,EQ0000000009685543
DOUGLAS DYNAMICS INC,PLOW,UL,Common Stock,Equity,BBG000Q90QL0,BBG000Q90C31,30079926674,EQ0000000009689960
EXPRESS INC,EXPR,UL,Common Stock,Equity,BBG000QB2VZ7,BBG000QB2L61,30081318193,EQ0000000009752803
CHINA INTELLIGENT LIGHTING &,CIL,UL,Common Stock,Equity,BBG000BC8M12,BBG000BC8911,30080125591,EQ0000000009755127
SCORPIO TANKERS INC,STNG,UL,Common Stock,Equity,BBG000Q1V6N5,BBG000Q1TVZ0,30080128092,EQ0000000009763976
REPLY! INC,RPLY,UL,Common Stock,Equity,BBG000QCPQ45,BBG000QCPK02,30080227592,EQ0000000009777696
GREEN DOT CORP-CLASS A,GDOT,UL,Common Stock,Equity,BBG000QDK296,BBG000QDJT53,30080293855,EQ0000000009805737
CRUDE CARRIERS CORP,CRU,UL,Common Stock,Equity,BBG000QDW7D7,BBG000QDW033,30080338730,EQ0000000009812576
OASIS PETROLEUM INC,OAS,UL,Common Stock,Equity,BBG000QFJH54,BBG000QFJ7H3,30080377321,EQ0000000009837468
CBOE HOLDINGS INC,CBOE,UL,Common Stock,Equity,BBG000QH5CP4,BBG000QH56C1,30081413357,EQ0000000009875726
GENMARK DIAGNOSTICS INC,GNMK,UL,Common Stock,Equity,BBG000QJTMD5,BBG000QJTC65,30080546016,EQ0000000009950457
ALPHA & OMEGA SEMICONDUCTOR,AOSL,UL,Common Stock,Equity,BBG000QLW9N4,BBG000QLW222,30080756593,EQ0000000010044175
QLIK TECHNOLOGIES INC,QLIK,UL,Common Stock,Equity,BBG000QMBTB4,BBG000QMBKT4,30081233863,EQ0000000010049308
AEROFLEX HOLDING CORP,ARX,UL,Common Stock,Equity,BBG000QMYVR7,BBG000QMYJQ5,30080877316,EQ0000000010057208
REALD INC,RLD,UL,Common Stock,Equity,BBG000QPGSJ6,BBG000QPGHN5,30082323782,EQ0000000010123255
LYONDELLBASELL INDU-CL A,LYB,UL,Common Stock,Equity,BBG000WCFZ85,BBG000WCFV84,30081099471,EQ0000000010214083
S&W SEED CO,SANW,UL,Common Stock,Equity,BBG000QVK802,BBG000QVK045,30081216017,EQ0000000010242722
FRESH MARKET INC/THE,TFM,UL,Common Stock,Equity,BBG000WCRLC8,BBG000WCRGZ4,30081216478,EQ0000000010243722
TMS INTERNATIONAL CORP-A,TMS,UL,Common Stock,Equity,BBG000QXDLF1,BBG000QXDCQ9,30081357621,EQ0000000010284103
SPANSION INC-CLASS A,CODE,UL,Common Stock,Equity,BBG000QXHZM8,BBG000QXHSV4,30081369989,EQ0000000010287264
NIELSEN HOLDINGS NV,NLSN,UL,Common Stock,Equity,BBG000R06L24,BBG000R06BX2,30084158582,EQ0000000010374974
SMURFIT-STONE CONTAINER CORP,SSCC,UL,Common Stock,Equity,BBG000R3Q790,BBG000R3Q0W9,30082040513,EQ0000000010516042
SMART TECHNOLOGIES INC - A,SMT,UL,Common Stock,Equity,BBG000TLXYM6,BBG000TLXSJ3,30082335347,EQ0000000010523310
BRAVO BRIO RESTAURANT GROUP,BBRG,UL,Common Stock,Equity,BBG000R56GK4,BBG000R56886,30082217059,EQ0000000010556561
PEOPLES FEDERAL BANCSHARES I,PEOP,UL,Common Stock,Equity,BBG000BBHSS2,BBG000BBHHW1,30082253059,EQ0000000010571260
TARGA RESOURCES CORP,TRGP,UL,Common Stock,Equity,BBG0015XMWP7,BBG0015XMW40,30083008866,EQ0000000011227262
AAR CORP,AIR,UL,Common Stock,Equity,BBG000BBGYL7,BBG000BBGQF1,30065284559,EQ0010000100001000
ABBOTT LABORATORIES,ABT,UL,Common Stock,Equity,BBG000BB05B8,BBG000B9ZXB4,30065284471,EQ0010000200001000
ADVANCED MICRO DEVICES,AMD,UL,Common Stock,Equity,BBG000BBQN58,BBG000BBQCY0,30065284601,EQ0010001000001000
AFLAC INC,AFL,UL,Common Stock,Equity,BBG000BBBY14,BBG000BBBNC6,30065284532,EQ0010001500001000
AIR PRODUCTS & CHEMICALS INC,APD,UL,Common Stock,Equity,BBG000BC4RL3,BBG000BC4JJ4,30065284660,EQ0010001900001000
AIRGAS INC,ARG,UL,Common Stock,Equity,BBG000BC8RJ2,BBG000BC8G88,30065284679,EQ0010002100001000
ALASKA AIR GROUP INC,ALK,UL,Common Stock,Equity,BBG000BBL9R0,BBG000BBL0Y1,30065284578,EQ0010002400001000
ALBANY INTL CORP-CL A,AIN,UL,Common Stock,Equity,BBG000BRX3Y7,BBG000BRWWH3,30065286800,EQ0010002500002000
ALBERTO-CULVER CO,ACV,UL,Common Stock,Equity,BBG000BB4B76,BBG000BB41G8,30065284496,EQ0010002600003000
ALLEGHANY CORP,Y,UL,Common Stock,Equity,BBG000BX6KM9,BBG000BX6BJ3,30065287517,EQ0010003400001000
ALLERGAN INC,AGN,UL,Common Stock,Equity,BBG000BHQCQ6,BBG000BHQ1H0,30065285409,EQ0010003800001000
ALLIANT TECHSYSTEMS INC,ATK,UL,Common Stock,Equity,BBG000C4W3R6,BBG000C4VW39,30065295906,EQ0010004000001000
HONEYWELL INTERNATIONAL INC,HON,UL,Common Stock,Equity,BBG000H56MF8,BBG000H556T9,30065358063,EQ0010004300001000
ALCOA INC,AA,UL,Common Stock,Equity,BBG000B9WQ40,BBG000B9WH86,30065284458,EQ0010004600001000
BARRICK GOLD CORP,ABX,UL,Common Stock,Equity,BBG000BB0JZ2,BBG000BB07P9,30065284473,EQ0010005500001001
ABM INDUSTRIES INC,ABM,UL,Common Stock,Equity,BBG000B9Z972,BBG000B9YYH7,30065284467,EQ0010005600001000
FORTUNE BRANDS INC,FO,UL,Common Stock,Equity,BBG000FBRDH2,BBG000FBR384,30065331010,EQ0010005700001000
AMERICAN ELECTRIC POWER,AEP,UL,Common Stock,Equity,BBG000BB9VX8,BBG000BB9KF2,30065284522,EQ0010006000001000
AMERICAN EXPRESS CO,AXP,UL,Common Stock,Equity,BBG000BCR7S5,BBG000BCQZS4,30065284749,EQ0010006100001000
AMERICAN INTERNATIONAL GROUP,AIG,UL,Common Stock,Equity,BBG000BBF8P1,BBG000BBDZG3,30065284555,EQ0010006700001000
HESS CORP,HES,UL,Common Stock,Equity,BBG000BBDC38,BBG000BBD070,30065284546,EQ0010007800001000
AMERON INTERNATIONAL CORP,AMN,UL,Common Stock,Equity,BBG000BBV0C4,BBG000BBTQG6,30065284616,EQ0010008200001000
AMPCO-PITTSBURGH CORP,AP,UL,Common Stock,Equity,BBG000BC27Y5,BBG000BC20T6,30065284653,EQ0010008800001000
AMR CORP,AMR,UL,Common Stock,Equity,BBG000BBVTT3,BBG000BBVK30,30065284619,EQ0010009000001000
AMREP CORP,AXR,UL,Common Stock,Equity,BBG000BCRNK8,BBG000BCRB60,30065284750,EQ0010009200001000
ANADARKO PETROLEUM CORP,APC,UL,Common Stock,Equity,BBG000BC4F11,BBG000BC40Y8,30065284658,EQ0010009600001000
ANALOG DEVICES INC,ADI,UL,Common Stock,Equity,BBG000BB6QW3,BBG000BB6G37,30065284504,EQ0010009700001000
ANN INC,ANN,UL,Common Stock,Equity,BBG000C9PJ16,BBG000C9N6Q9,30065297195,EQ0010010000001000
AON CORP,AON,UL,Common Stock,Equity,BBG000BC1G76,BBG000BC15S7,30065284651,EQ0010010300001000
APACHE CORP,APA,UL,Common Stock,Equity,BBG000BC2PN7,BBG000BC2C10,30065284654,EQ0010010400001000
ARCHER-DANIELS-MIDLAND CO,ADM,UL,Common Stock,Equity,BBG000BB7585,BBG000BB6WG8,30065284507,EQ0010010900001000
ARROW ELECTRONICS INC,ARW,UL,Common Stock,Equity,BBG000BCDFX6,BBG000BCD3D5,30065284691,EQ0010011500001000
ASHLAND INC,ASH,UL,Common Stock,Equity,BBG000BCHR75,BBG000BCHG15,30065284703,EQ0010012200001000
AGL RESOURCES INC,AGL,UL,Common Stock,Equity,BBG000BCKNT6,BBG000BCKC47,30065284721,EQ0010012700001000
ATMOS ENERGY CORP,ATO,UL,Common Stock,Equity,BBG000BRNPL3,BBG000BRNGM2,30065286757,EQ0010013100001000
REX AMERICAN RESOURCES CORP,REX,UL,Common Stock,Equity,BBG000D2ZV58,BBG000D2ZK61,30065303723,EQ0010013300001000
AUTOMATIC DATA PROCESSING,ADP,UL,Common Stock,Equity,BBG000JG1KS7,BBG000JG0547,30065378864,EQ0010013700001000
AUTOZONE INC,AZO,UL,Common Stock,Equity,BBG000C7MZR9,BBG000C7LMS8,30065296816,EQ0010013800001000
AVERY DENNISON CORP,AVY,UL,Common Stock,Equity,BBG000BCQD94,BBG000BCQ4P6,30065284744,EQ0010014100001000
AVNET INC,AVT,UL,Common Stock,Equity,BBG000BCPLD2,BBG000BCPB71,30065284741,EQ0010014200001000
AVON PRODUCTS INC,AVP,UL,Common Stock,Equity,BBG000BCP6V5,BBG000BCNYT9,30065284740,EQ0010014300001000
BAKER HUGHES INC,BHI,UL,Common Stock,Equity,BBG000BD54D0,BBG000BD4VG8,30065284810,EQ0010014700001000
BALL CORP,BLL,UL,Common Stock,Equity,BBG000BDDXG4,BBG000BDDNH5,30065284840,EQ0010014900001000
CONSTELLATION ENERGY GROUP,CEG,UL,Common Stock,Equity,BBG000G5JPQ6,BBG000G5H5S0,30065346194,EQ0010015200001000
BANK OF HAWAII CORP,BOH,UL,Common Stock,Equity,BBG000C8FMG6,BBG000C8D8G9,30065296984,EQ0010015900001000
BANK OF NEW YORK MELLON CORP,BK,UL,Common Stock,Equity,BBG000BD8YX9,BBG000BD8PN9,30065284825,EQ0010016400001000
CR BARD INC,BCR,UL,Common Stock,Equity,BBG000BCYYQ0,BBG000BCYP43,30065284779,EQ0010017000001000
BARNES GROUP INC,B,UL,Common Stock,Equity,BBG000BCSNG2,BBG000BCSCB1,30065284754,EQ0010017100001000
BAXTER INTERNATIONAL INC,BAX,UL,Common Stock,Equity,BBG000BCVV34,BBG000BCVJ77,30065284763,EQ0010017700001000
BCE INC,BCE,UL,Common Stock,Equity,BBG000BCY1M6,BBG000BCXNS3,30065284771,EQ0010017900001001
APPLIED INDUSTRIAL TECH INC,AIT,UL,Common Stock,Equity,BBG000BBHSN7,BBG000BBHHP9,30065284562,EQ0010018100001000
BECKMAN COULTER INC,BEC,UL,Common Stock,Equity,BBG000BD0PG5,BBG000BD0DV5,30065284788,EQ0010018200001000
BECTON DICKINSON AND CO,BDX,UL,Common Stock,Equity,BBG000BD0711,BBG000BCZYD3,30065284786,EQ0010018300001000
VERIZON COMMUNICATIONS INC,VZ,UL,Common Stock,Equity,BBG000HS9NY2,BBG000HS77T5,30065369287,EQ0010018500001000
BELO CORPORATION-A,BLC,UL,Common Stock,Equity,BBG000BDD487,BBG000BDCVP9,30065284837,EQ0010018800002000
BEMIS COMPANY,BMS,UL,Common Stock,Equity,BBG000BDHY23,BBG000BDHNB7,30065284853,EQ0010018900001000
BERKSHIRE HATHAWAY INC-CL A,BRK/A,UL,Common Stock,Equity,BBG000DWDS35,BBG000DWCFL4,30065320723,EQ0010019300001000
BERKSHIRE HATHAWAY INC-CL B,BRK/B,UL,Common Stock,Equity,BBG000DWHGS0,BBG000DWG505,30065320725,EQ0010019300003000
BERRY PETROLEUM CO-CLASS A,BRY,UL,Common Stock,Equity,BBG000BHY2H9,BBG000BHXRQ5,30065285449,EQ0010019600002000
BEST BUY CO INC,BBY,UL,Common Stock,Equity,BBG000BCWNP7,BBG000BCWCG1,30065284768,EQ0010019700001000
BLACK HILLS CORP,BKH,UL,Common Stock,Equity,BBG000BDB7D6,BBG000BD9ZM7,30065284829,EQ0010020700001000
H&R BLOCK INC,HRB,UL,Common Stock,Equity,BBG000BLF3T6,BBG000BLDV98,30065285853,EQ0010020800001000
BOEING CO/THE,BA,UL,Common Stock,Equity,BBG000BCT0Z0,BBG000BCSST7,30065284755,EQ0010021100001000
OFFICEMAX INC,OMX,UL,Common Stock,Equity,BBG000BCXHK4,BBG000BCX7G1,30065284770,EQ0010021200001000
BOSTON SCIENTIFIC CORP,BSX,UL,Common Stock,Equity,BBG000C0M484,BBG000C0LW92,30065289264,EQ0010021800001000
BRIGGS & STRATTON,BGG,UL,Common Stock,Equity,BBG000BD4CP0,BBG000BD43C4,30065284808,EQ0010022300001000
BRINKER INTERNATIONAL INC,EAT,UL,Common Stock,Equity,BBG000BK2NT8,BBG000BK28N7,30065285650,EQ0010022400001000
BRISTOL-MYERS SQUIBB CO,BMY,UL,Common Stock,Equity,BBG000DQM3L3,BBG000DQLV23,30065317282,EQ0010022500001000
VECTOR GROUP LTD,VGR,UL,Common Stock,Equity,BBG000CXLW63,BBG000CXKKZ8,30065301678,EQ0010023300001000
BROWN SHOE COMPANY INC,BWS,UL,Common Stock,Equity,BBG000CYTRW5,BBG000CYSFS7,30065302220,EQ0010023600001000
BROWN-FORMAN CORP-CLASS A,BF/A,UL,Common Stock,Equity,BBG000BD2LF3,BBG000BD2C18,30065284798,EQ0010023700002000
BROWN-FORMAN CORP-CLASS B,BF/B,UL,Common Stock,Equity,BBG000BD2YC8,BBG000BD2NY8,30065284799,EQ0010023700003000
MATERION CORP,MTRN,UL,Common Stock,Equity,BBG000BDV1W6,BBG000BDTT76,30065284899,EQ0010024100001000
BRUNSWICK CORP,BC,UL,Common Stock,Equity,BBG000BCX3G0,BBG000BCWSS3,30065284769,EQ0010024000001000
CABOT CORP,CBT,UL,Common Stock,Equity,BBG000BF47D9,BBG000BF3WW4,30065284952,EQ0010025200001000
CABOT OIL & GAS CORP,COG,UL,Common Stock,Equity,BBG000C3H0C7,BBG000C3GN47,30065293956,EQ0010025300002000
CADENCE DESIGN SYS INC,CDNS,UL,Common Stock,Equity,BBG000C13K05,BBG000C13CD9,30065290327,EQ0010025400001000
CALGON CARBON CORP,CCC,UL,Common Stock,Equity,BBG000C1WHR1,BBG000C1W6Z6,30065291378,EQ0010025800001000
CALLAWAY GOLF COMPANY,ELY,UL,Common Stock,Equity,BBG000CPF7G1,BBG000CPCVY1,30065299924,EQ0010026000001000
CAMPBELL SOUP CO,CPB,UL,Common Stock,Equity,BBG000BG4HN4,BBG000BG4202,30065285143,EQ0010026400001000
CARLISLE COS INC,CSL,UL,Common Stock,Equity,BBG000BGGPG1,BBG000BGGBT8,30065285201,EQ0010027100001000
CARNIVAL CORP,CCL,UL,Common Stock,Equity,BBG000BF6XR5,BBG000BF6LY3,30065284964,EQ0010027300002000
CARPENTER TECHNOLOGY,CRS,UL,Common Stock,Equity,BBG000BGD159,BBG000BGCQT9,30065285184,EQ0010027700001000
CASH AMERICA INTL INC,CSH,UL,Common Stock,Equity,BBG000BRSTZ5,BBG000BRSLM6,30065286773,EQ0010028200001000
CATERPILLAR INC,CAT,UL,Common Stock,Equity,BBG000BF0W57,BBG000BF0K17,30065284931,EQ0010028500001000
CDI CORP,CDI,UL,Common Stock,Equity,BBG000BF9J11,BBG000BF9673,30065284979,EQ0010029000001000
CH ENERGY GROUP INC,CHG,UL,Common Stock,Equity,BBG000DQ8YQ6,BBG000DQ7Q93,30065316719,EQ0010029600001000
CLECO CORPORATION,CNL,UL,Common Stock,Equity,BBG000BFZQK5,BBG000BFZG90,30065285119,EQ0010029700001000
CENTRAL VERMONT PUBLIC SERV,CV,UL,Common Stock,Equity,BBG000BGR0V7,BBG000BGQS92,30065285244,EQ0010030000001000
CENTURYLINK INC,CTL,UL,Common Stock,Equity,BBG000BGM3Z2,BBG000BGLRN3,30065285223,EQ0010030200001000
ARBITRON INC,ARB,UL,Common Stock,Equity,BBG000JMHKJ7,BBG000JMH788,30065385374,EQ0010030300001000
CHEMED CORP,CHE,UL,Common Stock,Equity,BBG000C1B6W2,BBG000C19QW1,30065290851,EQ0010031100001000
JPMORGAN CHASE & CO,JPM,UL,Common Stock,Equity,BBG000DMD7H8,BBG000DMBXR2,30065314301,EQ0010031200002000
CHEVRON CORP,CVX,UL,Common Stock,Equity,BBG000K4NRB1,BBG000K4ND22,30065404250,EQ0010031500001000
CHUBB CORP,CB,UL,Common Stock,Equity,BBG000BF2340,BBG000BF1R66,30065284935,EQ0010032300001000
CHURCH & DWIGHT CO INC,CHD,UL,Common Stock,Equity,BBG000BFK206,BBG000BFJT36,30065285032,EQ0010032400001000
CHYRON CORP,CHYR,UL,Common Stock,Equity,BBG000HWKSM2,BBG000HWKFP7,30065371738,EQ0010032500001000
CIGNA CORP,CI,UL,Common Stock,Equity,BBG000BFMNH0,BBG000BFMBQ6,30065285053,EQ0010032600001000
CINCINNATI BELL INC,CBB,UL,Common Stock,Equity,BBG000D8ZQ56,BBG000D8YF24,30065307062,EQ0010033000001000
FRONTIER COMMUNICATIONS CORP,FTR,UL,Common Stock,Equity,BBG000FH8H90,BBG000FH5YM1,30065334204,EQ0010033700003000
CITY NATIONAL CORP,CYN,UL,Common Stock,Equity,BBG000C44TJ9,BBG000C44LH8,30065295125,EQ0010033800001000
CLARCOR INC,CLC,UL,Common Stock,Equity,BBG000BRLGD4,BBG000BRL7B6,30065286742,EQ0010034000001000
CLIFFS NATURAL RESOURCES INC,CLF,UL,Common Stock,Equity,BBG000BFRP62,BBG000BFRF55,30065285081,EQ0010034400001000
CLOROX COMPANY,CLX,UL,Common Stock,Equity,BBG000BFSH78,BBG000BFS7D3,30065285092,EQ0010034500001000
CMS ENERGY CORP,CMS,UL,Common Stock,Equity,BBG000BFW5J6,BBG000BFVXX0,30065285106,EQ0010034800001000
CNA FINANCIAL CORP,CNA,UL,Common Stock,Equity,BBG000BFYKH3,BBG000BFYB47,30065285112,EQ0010035000001000
COCA-COLA ENTERPRISES,CCE,UL,Common Stock,Equity,BBG000BF62W7,BBG000BF5RY1,30065284960,EQ0010035400001000
COCA-COLA CO/THE,KO,UL,Common Stock,Equity,BBG000BMXDG6,BBG000BMX289,30065286091,EQ0010035500001000
COEUR D'ALENE MINES CORP,CDE,UL,Common Stock,Equity,BBG000BF92M5,BBG000BF8TF5,30065284978,EQ0010035600001000
COLGATE-PALMOLIVE CO,CL,UL,Common Stock,Equity,BBG000BFR7R9,BBG000BFQYY3,30065285072,EQ0010035900001000
COMERICA INC,CMA,UL,Common Stock,Equity,BBG000C75Y91,BBG000C75N77,30065296737,EQ0010036300001000
COMMERCIAL METALS CO,CMC,UL,Common Stock,Equity,BBG000BFSXQ2,BBG000BFSND8,30065285093,EQ0010036500001000
CA INC,CA,UL,Common Stock,Equity,BBG000BDWSY4,BBG000BDWKC5,30065284906,EQ0010037400001000
COMPUTER SCIENCES CORP,CSC,UL,Common Stock,Equity,BBG000BGG7P1,BBG000BGFZR8,30065285198,EQ0010037500001000
COMPUTER TASK GROUP INC,CTGX,UL,Common Stock,Equity,BBG000JD2LW6,BBG000JD15S7,30065377938,EQ0010037600001000
CONAGRA FOODS INC,CAG,UL,Common Stock,Equity,BBG000BDXQJ4,BBG000BDXGP9,30065284913,EQ0010037700001000
CONSOLIDATED EDISON INC,ED,UL,Common Stock,Equity,BBG000BHM7J9,BBG000BHLYS1,30065285397,EQ0010038200001000
CON-WAY INC,CNW,UL,Common Stock,Equity,BBG000BFZ9R6,BBG000BFZ1K0,30065285117,EQ0010038300001000
BIG LOTS INC,BIG,UL,Common Stock,Equity,BBG000J0FQK2,BBG000J0D904,30065374304,EQ0010038600001000
COOPER COS INC/THE,COO,UL,Common Stock,Equity,BBG000BG3CY4,BBG000BG3445,30065285137,EQ0010039500001000
COOPER INDUSTRIES PLC,CBE,UL,Common Stock,Equity,BBG000BF2X17,BBG000BF2KK4,30065284939,EQ0010039600001000
COOPER TIRE & RUBBER,CTB,UL,Common Stock,Equity,BBG000BGL5P9,BBG000BGKXV2,30065285215,EQ0010039700001000
CORNING INC,GLW,UL,Common Stock,Equity,BBG000BKG6X5,BBG000BKFZM4,30065285701,EQ0010039900001000
CPI CORP,CPY,UL,Common Stock,Equity,BBG000BT6YZ4,BBG000BT6PC8,30065287010,EQ0010040300001000
CRANE CO,CR,UL,Common Stock,Equity,BBG000BG7H88,BBG000BG7423,30065285162,EQ0010040500001000
CRAWFORD & COMPANY -CL A,CRD/A,UL,Common Stock,Equity,BBG000BPVY75,BBG000BPVR07,30065286435,EQ0010040600002000
CRAWFORD & CO  -CL B,CRD/B,UL,Common Stock,Equity,BBG000BPWCZ1,BBG000BPW2W6,30065286437,EQ0010040600003000
CROWN HOLDINGS INC,CCK,UL,Common Stock,Equity,BBG000BF6J32,BBG000BF6756,30065284963,EQ0010041200001000
CSX CORP,CSX,UL,Common Stock,Equity,BBG000BGK142,BBG000BGJRC8,30065285210,EQ0010041500001000
CTS CORP,CTS,UL,Common Stock,Equity,BBG000BGMM53,BBG000BGMC46,30065285230,EQ0010041600001000
AVIS BUDGET GROUP INC,CAR,UL,Common Stock,Equity,BBG000FLR845,BBG000FLPRH1,30065336292,EQ0010041700001000
CUMMINS INC,CMI,UL,Common Stock,Equity,BBG000BGQ4N9,BBG000BGPTV6,30065285239,EQ0010041900001000
CURTISS-WRIGHT CORP,CW,UL,Common Stock,Equity,BBG000BGSYV2,BBG000BGSPS5,30065285254,EQ0010042100001000
CYPRESS SEMICONDUCTOR CORP,CY,UL,Common Stock,Equity,BBG000BXNS98,BBG000BXNJ07,30065287632,EQ0010042400001000
DANAHER CORP,DHR,UL,Common Stock,Equity,BBG000BH3T48,BBG000BH3JF8,30065285309,EQ0010043000001000
TARGET CORP,TGT,UL,Common Stock,Equity,BBG000H8V6Z7,BBG000H8TVT2,30065360614,EQ0010043600001000
DEERE & CO,DE,UL,Common Stock,Equity,BBG000BH1XC2,BBG000BH1NH9,30065285290,EQ0010043800001000
DELUXE CORP,DLX,UL,Common Stock,Equity,BBG000BH6G43,BBG000BH6360,30065285326,EQ0010044400001000
VIAD CORP,VVI,UL,Common Stock,Equity,BBG000D79NS9,BBG000D79DL8,30065305811,EQ0010045100001000
DIEBOLD INC,DBD,UL,Common Stock,Equity,BBG000BGYPQ0,BBG000BGYDX9,30065285280,EQ0010045700001000
DILLARDS INC-CL A,DDS,UL,Common Stock,Equity,BBG000BS4XX2,BBG000BS4MP5,30065286832,EQ0010046000002000
WALT DISNEY CO/THE,DIS,UL,Common Stock,Equity,BBG000BH4Z89,BBG000BH4R78,30065285318,EQ0010046300001000
DOMINION RESOURCES INC/VA,D,UL,Common Stock,Equity,BBG000BGW6R3,BBG000BGVW60,30065285269,EQ0010046600001000
DOMTAR CORP,UFS,UL,Common Stock,Equity,BBG000BHFQW0,BBG000BHFHP8,30065285362,EQ0010046700001001
DONALDSON CO INC,DCI,UL,Common Stock,Equity,BBG000BGZY80,BBG000BGZP70,30065285284,EQ0010046800001000
RR DONNELLEY & SONS CO,RRD,UL,Common Stock,Equity,BBG000BH9F60,BBG000BH93Y6,30065285338,EQ0010046900001000
DOVER CORP,DOV,UL,Common Stock,Equity,BBG000BHBDX2,BBG000BHB3M6,30065285342,EQ0010047000001000
DOW CHEMICAL CO/THE,DOW,UL,Common Stock,Equity,BBG000BHBXF8,BBG000BHBK84,30065285343,EQ0010047100001000
DPL INC,DPL,UL,Common Stock,Equity,BBG000BHCQ62,BBG000BHCDF1,30065285346,EQ0010047400001000
DU PONT (E.I.) DE NEMOURS,DD,UL,Common Stock,Equity,BBG000BH1JB4,BBG000BH13K9,30065285288,EQ0010047900001000
DUKE ENERGY CORP,DUK,UL,Common Stock,Equity,BBG000BHGSN5,BBG000BHGDH5,30065285368,EQ0010048100001000
DYCOM INDUSTRIES INC,DY,UL,Common Stock,Equity,BBG000C4SW24,BBG000C4SKT1,30065295827,EQ0010048700001000
EASTMAN KODAK CO,EK,UL,Common Stock,Equity,BBG000BHS1S6,BBG000BHRRV6,30065285425,EQ0010049500001000
EATON CORP,ETN,UL,Common Stock,Equity,BBG000BJ3WV7,BBG000BJ3PD2,30065285485,EQ0010049600001000
ECOLAB INC,ECL,UL,Common Stock,Equity,BBG000BHL899,BBG000BHKYH4,30065285392,EQ0010049900001000
PERKINELMER INC,PKI,UL,Common Stock,Equity,BBG000FXYM13,BBG000FXW512,30065341619,EQ0010050300001000
EL PASO CORP,EP,UL,Common Stock,Equity,BBG000DSTCT4,BBG000DST2V3,30065318778,EQ0010050500001000
EMC CORP/MASS,EMC,UL,Common Stock,Equity,BBG000BHVXK0,BBG000BHVJJ3,30065285434,EQ0010051300001000
EMERSON ELECTRIC CO,EMR,UL,Common Stock,Equity,BBG000BHXMQ6,BBG000BHX7N2,30065285445,EQ0010051500001000
EMERSON RADIO CORP,MSN,UL,Common Stock,Equity,BBG000C33M43,BBG000C33CS9,30065292934,EQ0010051600001000
EMPIRE DISTRICT ELECTRIC CO,EDE,UL,Common Stock,Equity,BBG000BHN4W0,BBG000BHMW86,30065285399,EQ0010051800001000
ENERGEN CORP,EGN,UL,Common Stock,Equity,BBG000BHR6P9,BBG000BHQYG9,30065285416,EQ0010052100001000
ENNIS INC,EBF,UL,Common Stock,Equity,BBG000BHK6N8,BBG000BHJZF5,30065285383,EQ0010052500001000
EOG RESOURCES INC,EOG,UL,Common Stock,Equity,BBG000BZ9795,BBG000BZ9223,30065288047,EQ0010052900001000
ENTERGY CORP,ETR,UL,Common Stock,Equity,BBG000C1FY11,BBG000C1FQS9,30065290912,EQ0010053200001000
EQUIFAX INC,EFX,UL,Common Stock,Equity,BBG000BHPXR0,BBG000BHPL78,30065285407,EQ0010053700001000
EQT CORP,EQT,UL,Common Stock,Equity,BBG000BHZGV1,BBG000BHZ5J9,30065285461,EQ0010053900001000
ESCO TECHNOLOGIES INC,ESE,UL,Common Stock,Equity,BBG000C4SCR1,BBG000C4S3P3,30065295814,EQ0010054200001000
ESTERLINE TECHNOLOGIES CORP,ESL,UL,Common Stock,Equity,BBG000BJ2C24,BBG000BJ23J6,30065285476,EQ0010054300001000
NEWMARKET CORP,NEU,UL,Common Stock,Equity,BBG000BJ63J2,BBG000BJ5SS8,30065285494,EQ0010054400001000
XL GROUP PLC,XL,UL,Common Stock,Equity,BBG000C9XDQ3,BBG000C9W1Y1,30065297239,EQ0010054500001000
EXXON MOBIL CORP,XOM,UL,Common Stock,Equity,BBG000GZRPR0,BBG000GZQ728,30065355418,EQ0010054600001000
FAMILY DOLLAR STORES,FDO,UL,Common Stock,Equity,BBG000BJDXY1,BBG000BJDPC2,30065285541,EQ0010055000001000
FEDEX CORP,FDX,UL,Common Stock,Equity,BBG000BJF9R0,BBG000BJF1Z8,30065285542,EQ0010055400001000
FEDERAL SIGNAL CORP,FSS,UL,Common Stock,Equity,BBG000BJY481,BBG000BJXWX2,30065285626,EQ0010055900001000
